LAT	DEPTH	MAG	DATE	LON
37.947	8.2	0.5	20110903211053	-77.972
37.949	5.4	1.9	20111124121353	-77.971
37.937	8.6	2.4	20110906211753	-77.963
37.942	7.7	1.6	20110830102253	-77.964
37.947	6	2.2	20110921112653	-77.969
37.948	5.8	2.4	20111124093553	-77.967
37.96	3.9	2	20111004094853	-77.961
37.956	2.8	2.3	20111205064953	-78
37.912	6.8	2.6	20120403190054	-77.994
37.97	7	1.7	20110901100254	-77.935
37.94	5.1	2.2	20111103231954	-77.985
37.918	4.6	2.2	20111004102654	-77.995
37.938	3	2.1	20111202093254	-78.017
37.946	6.5	2.4	20111224164554	-77.97
37.947	5.1	1.9	20110831150155	-77.976
37.974	2.5	2.3	20110918050555	-77.831
37.911	5.7	2.1	20120118141955	-77.993
37.964	1.8	2.2	20110912183655	-77.878
37.936	8.7	0.5	20110903045755	-78.008
37.925	5.6	2.2	20120108142556	-77.987
37.939	5.2	2	20110902123756	-77.985
37.967	8.8	2.7	20110825234056	-77.932
37.948	6.3	1.9	20111217034256	-77.966
37.939	3.5	1	20110827014756	-77.853
37.95	8.6	2.3	20110910025656	-77.969
37.933	5.3	1.6	20110904075956	-77.986
37.958	3.5	2.3	20120307080057	-77.991
37.942	4.7	2.2	20110912181257	-77.979
37.925	7.7	1.7	20110902011857	-77.959
37.939	5.8	2	20110831033257	-77.989
37.971	1.2	2.4	20111017091358	-77.884
37.969	1.3	2.2	20111017091658	-77.885
37.949	6	2	20111026223658	-77.964
37.936	5	2.5	20111117043858	-77.988
37.959	2.5	2.4	20111214195958	-77.998
37.95	5.3	1.7	20110903221259	-77.973
37.915	5.1	2.1	20111019061559	-77.999
37.941	4.9	2.2	20110829031859	-77.992
37.942	5.6	2.7	20111112163859	-77.976
37.917	4.8	2.5	20120228051459	-77.999
