CEUS catalog emm_pi.c2 (March 2016)
mining-related eqks deleted
non-declustered
format: mw*(mixed moment magnitude; for rates use column 12),lon(dE),lat(dN),dp(km),y,m,d,h,m,s,mwsig,emw,nstar,comment
2.28 -104.900  39.900   0 1967 07 27 17 54  0.  0.240 2.28 1.165 SRA|ml,2.60MLGOL
4.84 -104.700  39.900   3 1967 08 09 13 25  0.  0.150 4.79 1.061 SLU|mw,4.84(mwm)
1.68 -104.900  39.900   0 1967 08 09 14 56  0.  0.240 1.68 1.165 SRA|ml,2.00MLGOL
2.08 -104.900  39.900   0 1967 08 09 17 48  0.  0.240 2.08 1.165 SRA|ml,2.40MLGOL
1.78 -104.900  39.900   0 1967 08 13 05 02  0.  0.240 1.78 1.165 SRA|ml,2.10MLGOL
2.08 -104.900  39.900   0 1967 08 13 05 46  0.  0.240 2.08 1.165 SRA|ml,2.40MLGOL
1.98 -104.900  39.900   0 1967 08 13 17 05  0.  0.240 1.98 1.165 SRA|ml,2.30MLGOL
1.68 -104.900  39.900   0 1967 10 25 06 32  0.  0.240 1.68 1.165 SRA|ml,2.00MLGOL
1.28 -104.900  39.900   0 1967 10 26 04 18  0.  0.240 1.28 1.165 SRA|ml,1.60MLGOL
1.68 -104.900  39.900   0 1967 10 28 08 00  0.  0.240 1.68 1.165 SRA|ml,2.00MLGOL
2.58 -104.900  39.900   0 1967 11 14 10 07  0.  0.240 2.58 1.165 SRA|ml,2.90MLGOL
2.38 -104.900  39.900   0 1967 11 14 10 41  0.  0.240 2.38 1.165 SRA|ml,2.70MLGOL
3.38 -104.600  39.900   5 1967 11 15 07 10 12.1 0.240 3.38 1.165 SRA|mb,3.7neic
2.28 -104.900  39.900   0 1967 11 25 07 02  0.  0.240 2.28 1.165 SRA|ml,2.60MLGOL
4.52 -104.700  40.000   5 1967 11 27 05 09  0.  0.150 4.47 1.061 SLU|mw,4.52(mwm)
4.08 -104.700  39.900   5 1967 11 27 05 35 00.7 0.240 4.08 1.165 SRA|mb,4.4neic
3.18 -104.900  39.900   5 1967 11 27 05 42 53.3 0.240 3.18 1.165 SRA|ml,3.50MLGOL
1.58 -104.900  39.900   0 1967 12 09 03 34  0.  0.240 1.58 1.165 SRA|ml,1.90MLGOL
1.78 -104.900  39.900   0 1968 01 13 18 47  0.  0.240 1.78 1.165 SRA|ml,2.10MLGOL
2.08 -104.900  39.900   0 1968 01 18 14 31  0.  0.240 2.08 1.165 SRA|ml,2.40MLGOL
1.68 -104.890  39.880   4 1968 02 24 14 06 50.6 0.240 1.68 1.165 SRA|ml,2.00MLGOL
2.38 -104.890  39.880  11 1968 04 13 22 47 36.6 0.240 2.38 1.165 SRA|ml,2.70MLGOL
2.28 -104.900  39.880   9 1968 06 04 18 58 14.  0.240 2.28 1.165 SRA|ml,2.60MLGOL
2.38 -104.900  39.870   9 1968 06 10 05 23 20.6 0.240 2.38 1.165 SRA|ml,2.70MLGOL
2.98 -104.880  39.870   6 1968 07 15 18 33 13.6 0.240 2.98 1.165 SRA|ml,3.30MLGOL
2.28 -104.900  39.900   0 1968 07 15 18 46  0.  0.240 2.28 1.165 SRA|ml,2.60MLGOL
2.58 -104.890  39.890   7 1968 07 27 19 04 54.3 0.240 2.58 1.165 SRA|ml,2.90MLGOL
2.28 -104.920  39.890   8 1968 08 14 02 03 26.4 0.240 2.28 1.165 SRA|ml,2.60MLGOL
2.08 -104.940  39.900   8 1968 09 24 14 51 27.4 0.240 2.08 1.165 SRA|ml,2.40MLGOL
2.88 -104.900  39.860   6 1968 11 02 14 29 02.5 0.240 2.88 1.165 SRA|ml,3.20MLGOL
1.88 -104.900  39.900   0 1968 11 29 04 28  0.  0.240 1.88 1.165 SRA|ml,2.20MLGOL
2.58 -104.900  39.900   0 1969 02 22 18 43  0.  0.240 2.58 1.165 SRA|ml,2.90MLGOL
2.78 -104.900  39.900   0 1969 02 23 22 50  0.  0.240 2.78 1.165 SRA|ml,3.10MLGOL
2.18 -104.900  39.900   0 1969 03 20 06 36  0.  0.240 2.18 1.165 SRA|ml,2.50MLGOL
2.18 -104.900  39.900   0 1969 03 23 01 21  0.  0.240 2.18 1.165 SRA|ml,2.50MLGOL
1.78 -104.900  39.900   0 1969 04 17 16 49  0.  0.240 1.78 1.165 SRA|ml,2.10MLGOL
2.18 -104.900  39.900   0 1969 04 28 07 16  0.  0.240 2.18 1.165 SRA|ml,2.50MLGOL
2.38 -104.900  39.900   0 1969 04 30 14 28  0.  0.240 2.38 1.165 SRA|ml,2.70MLGOL
2.98 -104.900  39.900   0 1969 05 23 09 00 53.5 0.240 2.98 1.165 SRA|ml,3.30MLGOL
2.48 -104.900  39.900   0 1969 05 23 10 47  0.  0.240 2.48 1.165 SRA|ml,2.80MLGOL
2.48 -104.900  39.900   0 1969 09 13 11 25  0.  0.240 2.48 1.165 SRA|ml,2.80MLGOL
2.28 -104.900  39.900   0 1969 09 13 12 15  0.  0.240 2.28 1.165 SRA|ml,2.60MLGOL
2.18 -104.900  39.900   0 1969 09 30 09 04  0.  0.240 2.18 1.165 SRA|ml,2.50MLGOL
2.18 -104.900  39.900   0 1969 11 05 13 50  0.  0.240 2.18 1.165 SRA|ml,2.50MLGOL
2.58 -104.900  39.900   0 1969 11 05 14 24  0.  0.240 2.58 1.165 SRA|ml,2.90MLGOL
2.48 -104.900  39.900   0 1970 03 31 12 36  0.  0.240 2.48 1.165 SRA|ml,2.80MLGOL
3.98 -108.900  40.100   4 1970 04 21 08 53 52.4 0.240 3.98 1.165 SRA|mb,4.3neic
4.28 -108.900  40.090   4 1970 04 21 15 05 47.5 0.240 4.28 1.165 SRA|mb,4.6neic
3.78 -105.100  39.900   0 1970 05 23 08 55 09.4 0.240 3.78 1.165 NCE|mb,4.1USE
2.38 -104.900  39.900   0 1970 07 12 18 18  0.  0.240 2.38 1.165 SRA|ml,2.70MLGOL
2.68 -104.900  39.900   0 1971 03 11 14 08  0.  0.240 2.68 1.165 SRA|ml,3.00MLGOL
