The South American Crustal Structure Database

79.50W	8.1	0	0	7.5	m	7.5	MCz	92	71E.1		
											
3.85N	6.8	0	6	0		6	-3.8	0	NPO-PN	2	O
79.00W	8.1	0	0	6	m	6	MCz	92	71E.1		
											
3.80N	4	0	4.1	0	s	32.9	-1.6	0	NPO-PN	4	O
77.95W	6.1	0	5.9	4.1		37	MCz	92	71E.1	O	RO
	6.8	0	27	10							
	8.1	0	0	37	m						
											
3.80N	4	0	9.7	0	s	4.3	-0.5	0	NPO-PN	4	O
77.60W	6.1	0	4.3	9.7		14	MCz	92	71E.1	O	RO
	7.8	0	33.5	14	m						
	8.1	0	0	47.5	m						
											
3.70N	6.1	0	20	0		34	1	0	SAC-GH	4	R
76.40W	7.1	0	14	20		34	MCz	92	71E.1	O	RO
	7.8	0	31	34	m						
	8.3	0	0	65	m						
											
18.50S	6.05	0	0.6	0		5.6	-4.9	0	SPO-CH	7	R
73.50W	6.25	0	0.6	0.6		5.6	MCz	45	77M.4		
	6.4	0	1.2	1.2							
	6.8	0	1.3	2.4							
	6.5	0	1.9	3.7							
	7.9	0	2.6	5.6	m						
	8.4	0	0	8.2	m						
											
13.42N	1.7	0	0.9	0	s	6.37	-3.5	0	NAO-PT	4	R
58.00W	2.58	0	3.52	0.9	s	10.79	MCz	90	57E.2	O	RO
	6.74	0	6.37	4.42							
	8.32	0	0	10.79	m						
											
13.42N	1.7	0	0.18	0	s	5.33	-4.9	0	NAO-PT	4	R
56.75W	2.23	0	1.5	0.18	s	7.01	MCz	165	57E.2		
	6.64	0	5.33	1.68							
	8.01	0	0	7.01	m						
											
13.50N	2	0	1	0	s	9.49	-2.9	0	NAO-PT	5	R
62.42W	3.82	0	2.47	1	s	12.96	MCz	165	57E.2	O	RO
	5.29	0	2.32	3.47							
	6.34	0	7.17	5.79							
	7.47	0	0	12.96							
											
23.64S	3.98	2.34	3	0		42	0.7	0	SAC-BR	6	E
64.85W	5.28	3.1	7	3		42	MCz	200.6	92C.2	O	RO
	6.21	3.65	10	10							
	6.45	3.79	15	20							
	6.8	4	7	35							
	8	4.7	0	42	m						
											
24.17S	3.98	2.34	3	0		42	0.8	0	SAC-BR	6	E
64.80W	5.28	3.1	7	3		42	MCz	313.2	92C.2	O	RO
	6.21	3.65	10	10							
	6.45	3.79	15	20							
	6.8	4	7	35							
	8	4.7	0	42	m						
											
8.33S	0.3	0	0.05	0	sg	36.3	0.2	0	SAC-AM	8	E
74.61W	2.2	0	3.85	0.05	sg	44	MCz	32.6	94J.2	B	AS
	4	0	3.8	3.9	sg						
	5.9	0	6.1	7.7	cg						
	6.4	0	18.2	13.8	cg						
	6.6	0	12	32	cg						
	7.96	0	53	44	mg						
	8.12	0	53	97	mg						
											
